,date,ct,dt,ct_ma,dt_ma
169,2020-07-19,511,0,490.7142857142857,0.42857142857142855
170,2020-07-20,418,2,513.4285714285714,0.5714285714285714
171,2020-07-21,632,1,556.1428571428571,0.7142857142857143
172,2020-07-22,795,1,605.4285714285714,0.7142857142857143
173,2020-07-23,981,2,656.4285714285714,1.0
174,2020-07-24,779,3,682.4285714285714,1.4285714285714286
175,2020-07-25,801,3,702.4285714285714,1.7142857142857142
176,2020-07-26,839,0,749.2857142857143,1.7142857142857142
177,2020-07-27,600,1,775.2857142857143,1.5714285714285714
178,2020-07-28,985,3,825.7142857142857,1.8571428571428572
179,2020-07-29,1270,4,893.5714285714286,2.2857142857142856
180,2020-07-30,1308,1,940.2857142857143,2.142857142857143
181,2020-07-31,1586,6,1055.5714285714287,2.5714285714285716
182,2020-08-01,1534,0,1160.2857142857142,2.142857142857143
183,2020-08-02,1331,0,1230.5714285714287,2.142857142857143
184,2020-08-03,965,5,1282.7142857142858,2.7142857142857144
185,2020-08-04,1246,5,1320.0,3.0
186,2020-08-05,1355,7,1332.142857142857,3.4285714285714284
187,2020-08-06,1485,6,1357.4285714285713,4.142857142857143
188,2020-08-07,1605,7,1360.142857142857,4.285714285714286
189,2020-08-08,1571,1,1365.4285714285713,4.428571428571429
190,2020-08-09,1441,5,1381.142857142857,5.142857142857143
191,2020-08-10,838,5,1363.0,5.142857142857143
192,2020-08-11,697,7,1284.5714285714287,5.428571428571429
193,2020-08-12,979,5,1230.857142857143,5.142857142857143
194,2020-08-13,1172,11,1186.142857142857,5.857142857142857
195,2020-08-14,1356,9,1150.5714285714287,6.142857142857143
196,2020-08-15,1231,7,1102.0,7.0
197,2020-08-16,1017,11,1041.4285714285713,7.857142857142857
198,2020-08-17,647,15,1014.1428571428571,9.285714285714286
199,2020-08-18,916,16,1045.4285714285713,10.571428571428571
200,2020-08-19,1070,14,1058.4285714285713,11.857142857142858
201,2020-08-20,1178,11,1059.2857142857142,11.857142857142858
202,2020-08-21,1037,15,1013.7142857142857,12.714285714285714
203,2020-08-22,984,6,978.4285714285714,12.571428571428571
204,2020-08-23,744,9,939.4285714285714,12.285714285714286
205,2020-08-24,493,13,917.4285714285714,12.0
206,2020-08-25,715,14,888.7142857142857,11.714285714285714
207,2020-08-26,903,13,864.8571428571429,11.571428571428571
208,2020-08-27,863,11,819.8571428571429,11.571428571428571
209,2020-08-28,876,20,796.8571428571429,12.285714285714286
210,2020-08-29,844,11,776.8571428571429,13.0
211,2020-08-30,600,14,756.2857142857143,13.714285714285714
212,2020-08-31,436,14,748.1428571428571,13.857142857142858
213,2020-09-01,633,14,736.4285714285714,13.857142857142858
214,2020-09-02,592,13,692.0,13.857142857142858
215,2020-09-03,657,8,662.5714285714286,13.428571428571429
216,2020-09-04,587,17,621.2857142857143,13.0
217,2020-09-05,598,9,586.1428571428571,12.714285714285714
218,2020-09-06,451,8,564.8571428571429,11.857142857142858
219,2020-09-07,291,11,544.1428571428571,11.428571428571429
220,2020-09-08,509,18,526.4285714285714,12.0
221,2020-09-09,508,14,514.4285714285714,12.142857142857142
222,2020-09-10,712,7,522.2857142857143,12.0
223,2020-09-11,642,9,530.1428571428571,10.857142857142858
224,2020-09-12,646,13,537.0,11.428571428571429
225,2020-09-13,439,6,535.2857142857143,11.142857142857142
226,2020-09-14,266,7,531.7142857142857,10.571428571428571
227,2020-09-15,531,13,534.8571428571429,9.857142857142858
228,2020-09-16,551,13,541.0,9.714285714285714
229,2020-09-17,489,9,509.14285714285717,10.0
230,2020-09-18,572,10,499.14285714285717,10.142857142857142
231,2020-09-19,596,4,492.0,8.857142857142858
232,2020-09-20,480,4,497.85714285714283,8.571428571428571
233,2020-09-21,310,7,504.14285714285717,8.571428571428571
234,2020-09-22,331,5,475.57142857142856,7.428571428571429
235,2020-09-23,219,6,428.14285714285717,6.428571428571429
236,2020-09-24,482,12,427.14285714285717,6.857142857142857
237,2020-09-25,573,7,427.2857142857143,6.428571428571429
238,2020-09-26,639,3,433.42857142857144,6.285714285714286
239,2020-09-27,485,3,434.14285714285717,6.142857142857143
240,2020-09-28,302,11,433.0,6.714285714285714
241,2020-09-29,527,7,461.0,7.0
242,2020-09-30,576,7,512.0,7.142857142857143
243,2020-10-01,633,8,533.5714285714286,6.571428571428571
244,2020-10-02,542,10,529.1428571428571,7.0
245,2020-10-03,574,6,519.8571428571429,7.428571428571429
246,2020-10-04,400,1,507.7142857142857,7.142857142857143
247,2020-10-05,279,4,504.42857142857144,6.142857142857143
248,2020-10-06,500,7,500.57142857142856,6.142857142857143
249,2020-10-07,506,5,490.57142857142856,5.857142857142857
250,2020-10-08,627,3,489.7142857142857,5.142857142857143
251,2020-10-09,603,6,498.42857142857144,4.571428571428571
252,2020-10-10,678,3,513.2857142857143,4.142857142857143
253,2020-10-11,436,2,518.4285714285714,4.285714285714286
254,2020-10-12,278,4,518.2857142857143,4.285714285714286
255,2020-10-13,498,4,518.0,3.857142857142857
256,2020-10-14,552,9,524.5714285714286,4.428571428571429
257,2020-10-15,708,3,536.1428571428571,4.428571428571429
258,2020-10-16,639,15,541.2857142857143,5.714285714285714
259,2020-10-17,623,6,533.4285714285714,6.142857142857143
260,2020-10-18,430,4,532.5714285714286,6.428571428571429
261,2020-10-19,316,2,538.0,6.142857142857143
262,2020-10-20,481,3,535.5714285714286,6.0
263,2020-10-21,615,7,544.5714285714286,5.714285714285714
264,2020-10-22,616,11,531.4285714285714,6.857142857142857
265,2020-10-23,745,12,546.5714285714286,6.428571428571429
266,2020-10-24,726,4,561.2857142857143,6.142857142857143
267,2020-10-25,493,6,570.2857142857143,6.428571428571429
268,2020-10-26,410,8,583.7142857142857,7.285714285714286
269,2020-10-27,646,5,607.2857142857143,7.571428571428571
270,2020-10-28,731,5,623.8571428571429,7.285714285714286
271,2020-10-29,808,10,651.2857142857143,7.142857142857143
272,2020-10-30,774,8,655.4285714285714,6.571428571428571
273,2020-10-31,877,14,677.0,8.0
274,2020-11-01,613,6,694.1428571428571,8.0
275,2020-11-02,487,12,705.1428571428571,8.571428571428571
276,2020-11-03,865,7,736.4285714285714,8.857142857142858
277,2020-11-04,624,4,721.1428571428571,8.714285714285714
278,2020-11-05,1048,9,755.4285714285714,8.571428571428571
279,2020-11-06,1143,4,808.1428571428571,8.0
280,2020-11-07,1333,5,873.2857142857143,6.714285714285714
281,2020-11-08,950,7,921.4285714285714,6.857142857142857
282,2020-11-09,780,12,963.2857142857143,6.857142857142857
283,2020-11-10,1283,15,1023.0,8.0
284,2020-11-11,1544,12,1154.4285714285713,9.142857142857142
285,2020-11-12,1659,10,1241.7142857142858,9.285714285714286
286,2020-11-13,1704,12,1321.857142857143,10.428571428571429
287,2020-11-14,1735,3,1379.2857142857142,10.142857142857142
288,2020-11-15,1439,7,1449.142857142857,10.142857142857142
289,2020-11-16,950,11,1473.4285714285713,10.0
290,2020-11-17,1700,14,1533.0,9.857142857142858
291,2020-11-18,2194,14,1625.857142857143,10.142857142857142
292,2020-11-19,2385,21,1729.5714285714287,11.714285714285714
293,2020-11-20,2421,14,1832.0,12.0
294,2020-11-21,2592,12,1954.4285714285713,13.285714285714286
295,2020-11-22,2159,7,2057.285714285714,13.285714285714286
296,2020-11-23,1518,8,2138.4285714285716,12.857142857142858
297,2020-11-24,1229,19,2071.1428571428573,13.571428571428571
298,2020-11-25,1942,21,2035.142857142857,14.571428571428571
299,2020-11-26,2500,29,2051.5714285714284,15.714285714285714
300,2020-11-27,2531,31,2067.285714285714,18.142857142857142
301,2020-11-28,2675,14,2079.1428571428573,18.428571428571427
302,2020-11-29,2062,16,2065.285714285714,19.714285714285715
303,2020-11-30,1436,26,2053.5714285714284,22.285714285714285
304,2020-12-01,2033,41,2168.4285714285716,25.428571428571427
305,2020-12-02,2432,32,2238.4285714285716,27.0
306,2020-12-03,2517,36,2240.8571428571427,28.0
307,2020-12-04,2452,45,2229.5714285714284,30.0
308,2020-12-05,2508,22,2205.714285714286,31.142857142857142
309,2020-12-06,2038,31,2202.285714285714,33.285714285714285
310,2020-12-07,1531,39,2215.8571428571427,35.142857142857146
311,2020-12-08,2176,47,2236.285714285714,36.0
